nuclides,reactions,groups,xs
U235,"(n,gamma)",24,6.444084916967048
U235,"(n,gamma)",25,15.325663074850938
U235,"(n,gamma)",26,24.628615711445985
U235,"(n,gamma)",27,36.67172860410156
U235,"(n,gamma)",28,26.295919238967272
U235,"(n,gamma)",29,25.830884967624428
U235,"(n,gamma)",30,14.299067616700833
U235,"(n,gamma)",31,4.81564912052329
U235,"(n,gamma)",32,1.231371414004544
U235,"(n,gamma)",33,0.6667862255275913
U235,"(n,gamma)",34,0.25894385123734937
U235,"(n,gamma)",35,0.13715391492191362
U235,"(n,gamma)",36,0.10471698211974474
U235,"(n,gamma)",37,0.07147919918646385
U235,"(n,gamma)",38,0.033020944975637095
U235,"(n,gamma)",39,0.00817734181251818
U235,"(n,gamma)",40,0.002589488686127638
U235,fission,1,1027.2456838269484
U235,fission,2,627.3373401306003
U235,fission,3,481.1386594675048
U235,fission,4,395.9904817031796
U235,fission,5,324.86646060054403
U235,fission,6,271.7245687958266
U235,fission,7,226.2260672964855
U235,fission,8,189.21014401848066
U235,fission,9,175.49044623238436
U235,fission,10,185.1694068663042
U235,fission,11,179.07302102140025
U235,fission,12,95.54088128901809
U235,fission,13,57.890854216043635
U235,fission,14,56.77318642897411
U235,fission,15,61.397227553639695
U235,fission,16,67.12741822517668
U235,fission,17,86.49601154720504
U235,fission,18,106.3822150372451
U235,fission,19,53.4502535036944
U235,fission,20,19.08941570378106
U235,fission,21,14.698023773231084
U235,fission,22,17.924553226653696
U235,fission,23,11.303070148104238
U235,fission,24,22.701046506285827
U235,fission,25,25.289415727779854
U235,fission,26,35.40462877624209
U235,fission,27,35.175818943464876
U235,fission,28,44.704702537039964
U235,fission,29,41.0847480007376
U235,fission,30,29.01447520456728
U235,fission,31,10.42682595429599
U235,fission,32,3.2514509829032243
U235,fission,33,2.0698533212049144
U235,fission,34,1.29524676050894
U235,fission,35,1.1186885912714435
U235,fission,36,1.1807365710590814
U235,fission,37,1.2607982506946294
U235,fission,38,1.2333377044629177
U235,fission,39,1.1051120450289997
U235,fission,40,1.52924935479716
U238,"(n,gamma)",1,4.544873934780317
U238,"(n,gamma)",2,2.86050856903198
U238,"(n,gamma)",3,2.2598326183548667
U238,"(n,gamma)",4,1.9224474395317268
U238,"(n,gamma)",5,1.6474730024322768
U238,"(n,gamma)",6,1.4432502179960829
U238,"(n,gamma)",7,1.262854986025563
U238,"(n,gamma)",8,1.0956071302848545
U238,"(n,gamma)",9,0.984557428375798
U238,"(n,gamma)",10,0.8882489991114868
U238,"(n,gamma)",11,0.7974100586697281
U238,"(n,gamma)",12,0.6713877182236161
U238,"(n,gamma)",13,0.5631090608926442
U238,"(n,gamma)",14,0.5224844536337315
U238,"(n,gamma)",15,0.5117382595132894
U238,"(n,gamma)",16,0.5061816199484669
U238,"(n,gamma)",17,0.4971181919974534
U238,"(n,gamma)",18,0.48930243630430953
U238,"(n,gamma)",19,0.4792717205741209
U238,"(n,gamma)",20,0.46617625414664393
U238,"(n,gamma)",21,0.4556280393705443
U238,"(n,gamma)",22,0.45371434731052523
U238,"(n,gamma)",23,0.4651637038640343
U238,"(n,gamma)",24,0.5132563935183878
U238,"(n,gamma)",25,0.6400229374222335
U238,"(n,gamma)",26,7.979784674956457
U238,"(n,gamma)",27,0.49315875407945015
U238,"(n,gamma)",28,6.2507953027452725
U238,"(n,gamma)",29,4.408091073371664
U238,"(n,gamma)",30,2.409854615002574
U238,"(n,gamma)",31,1.1787466580372268
U238,"(n,gamma)",32,0.6890426063940536
U238,"(n,gamma)",33,0.38762698507073085
U238,"(n,gamma)",34,0.12263903222356211
U238,"(n,gamma)",35,0.11734082180718416
U238,"(n,gamma)",36,0.11175411517162179
U238,"(n,gamma)",37,0.06004896883398529
U238,"(n,gamma)",38,0.022311690395008115
U238,"(n,gamma)",39,0.004059473259808689
U238,"(n,gamma)",40,0.0011655175049837291
U238,fission,1,2.84797972072447e-05
